Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Cilacap,788513,45411,38530,83941,872454,90.38,74601,297679,84130,456410,1328864,65.65
Banyumas,817989,28200,24513,52713,870702,93.95,105913,307574,60532,474019,1344721,64.75
Purbalingga,510319,16420,11768,28188,538507,94.77,38498,121479,34519,194496,733003,73.47
Banjarnegara,487714,24047,9201,33248,520962,93.62,37986,131421,31509,200916,721878,72.17
Kebumen,619368,24379,14590,38969,658337,94.08,52393,164844,44286,261523,919860,71.57
Purworejo,393775,11956,6398,18354,412129,95.55,40399,95138,21717,157254,569383,72.38
Wonosobo,431010,13874,8840,22714,453724,94.99,38254,95472,21207,154933,608657,74.55
Magelang,781195,28554,12341,40895,822090,95.03,55635,113814,41578,211027,1033117,79.57
Boyolali,562948,17602,11504,29106,592054,95.08,41006,113257,37795,192058,784112,75.51
Klaten,623119,14121,13937,28058,651177,95.69,59986,188081,49212,297279,948456,68.66
Sukoharjo,475594,6174,5894,12068,487662,97.53,67026,129296,39792,236114,723776,67.38
Wonogiri,578089,6804,4688,11492,589581,98.05,35307,118099,44501,197907,787488,74.87
Karanganyar,476875,11907,16903,28810,505685,94.3,53870,112509,43147,209526,715211,70.7
Sragen,470456,7545,15618,23163,493619,95.31,39001,132808,45861,217670,711289,69.4
Grobogan,744832,13717,20588,34305,779137,95.6,67151,181425,53710,302286,1081423,72.05
Blora,500373,14229,5014,19243,519616,96.3,33515,115165,23771,172451,692067,75.08
Rembang,375614,3128,3595,6723,382337,98.24,32500,78871,23126,134497,516834,73.98
Pati,692477,14555,17715,32270,724747,95.55,64454,173906,50225,288585,1013332,71.52
Kudus,485048,7124,8948,16072,501120,96.79,54847,124111,25835,204793,705913,70.99
Jepara,671473,15196,13487,28683,700156,95.9,69176,184484,50130,303790,1003946,69.74
Demak,571566,15272,21916,37188,608754,93.89,77663,180481,42059,300203,908957,66.97
Semarang,619227,20791,10479,31270,650497,95.19,58264,113883,39880,212027,862524,75.42
Temanggung,460765,7415,4609,12024,472789,97.46,37339,85085,25774,148198,620987,76.14
Kendal,524396,26879,14661,41540,565936,92.66,53404,113344,37958,204706,770642,73.44
Batang,426004,14042,16259,30301,456305,93.36,31871,96502,24578,152951,609256,74.9
Pekalongan,467510,8143,7445,15588,483098,96.77,51181,114582,37406,203169,686267,70.4
Pemalang,642038,28742,16845,45587,687625,93.37,63019,203832,29132,295983,983608,69.91
Tegal,643030,50492,18084,68576,711606,90.36,83400,232104,58641,374145,1085751,65.54
Brebes,826023,46309,40192,86501,912524,90.52,94983,289314,85490,469787,1382311,66.01
Kota Magelang,62347,1782,2705,4487,66834,93.29,8796,19379,3912,32087,98921,67.56
Kota Surakarta,271928,8492,8357,16849,288777,94.17,41088,80010,13892,134990,423767,68.15
Kota Salatiga,108396,4195,2214,6409,114805,94.42,16076,24778,6043,46897,161702,71
Kota Semarang,994091,24150,57586,81736,1075827,92.4,139678,241445,59247,440370,1516197,70.96
Kota Pekalongan,161470,4204,4266,8470,169940,95.02,21092,38933,11607,71632,241572,70.35
Kota Tegal,124887,4805,4129,8934,133821,93.32,14984,41442,4820,61246,195067,68.6
Jawa Tengah,18390459,590656,493819,1084475,19474934,94.43,1854356,4854547,1307022,8015925,27490859,70.84
,,,,,,,,,,,,
Keterangan,,,,,,,,,,,,
-,,,,,,,,,,,,
