Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Cilacap,807407,58218,22593,80811,888218,90.9,71593,294274,56120,421987,1310205,67.79
Banyumas,824866,34674,18015,52689,877555,94,94202,282836,61906,438944,1316499,66.66
Purbalingga,469748,19215,11298,30513,500261,93.9,36723,150685,28090,215498,715759,69.89
Banjarnegara,466173,21484,7510,28994,495167,94.14,35611,152405,27311,215327,710494,69.69
Kebumen,595203,26067,12417,38484,633687,93.93,59834,175770,40823,276427,910114,69.63
Purworejo,378951,10924,5012,15936,394887,95.96,32984,107801,28057,168842,563729,70.05
Wonosobo,405187,17384,5607,22991,428178,94.63,34311,102144,36217,172672,600850,71.26
Magelang,741284,25287,7793,33080,774364,95.73,57318,152537,26646,236501,1010865,76.6
Boyolali,549582,23599,7051,30650,580232,94.72,40986,127741,23507,192234,772466,75.11
Klaten,606253,22684,12308,34992,641245,94.54,64645,183295,49287,297227,938472,68.33
Sukoharjo,454419,23882,9949,33831,488250,93.07,67228,117836,36991,222055,710305,68.74
Wonogiri,557865,16615,8253,24868,582733,95.73,36145,121254,40045,197444,780177,74.69
Karanganyar,484423,22832,7890,30722,515145,94.04,45657,104941,34614,185212,700357,73.55
Sragen,458856,13682,9224,22906,481762,95.25,45503,137896,38801,222200,703962,68.44
Grobogan,710909,20094,13402,33496,744405,95.5,65058,204493,52913,322464,1066869,69.77
Blora,468013,16298,7760,24058,492071,95.11,38842,121361,32082,192285,684356,71.9
Rembang,314797,12768,3218,15986,330783,95.17,28428,124997,23350,176775,507558,65.17
Pati,607706,18496,11748,30244,637950,95.26,69739,235163,56321,361223,999173,63.85
Kudus,483983,17519,10817,28336,512319,94.47,43255,94203,37930,175388,687707,74.5
Jepara,634386,26495,19026,45521,679907,93.3,65674,177516,49279,292469,972376,69.92
Demak,574602,28211,17079,45290,619892,92.69,67941,162122,38217,268280,888172,69.79
Semarang,600322,23420,5296,28716,629038,95.43,52272,114713,41899,208884,837922,75.07
Temanggung,343400,8392,5364,13756,357156,96.15,34487,190351,26151,250989,608145,58.73
Kendal,493062,29555,10759,40314,533376,92.44,53692,123203,46269,223164,756540,70.5
Batang,387741,17970,10865,28835,416576,93.08,38975,118292,23144,180411,596987,69.78
Pekalongan,446922,19592,13917,33509,480431,93.03,43401,113778,36827,194006,674437,71.23
Pemalang,589786,32353,16431,48784,638570,92.36,59188,223225,52859,335272,973842,65.57
Tegal,644978,53220,17026,70246,715224,90.18,66687,226244,67100,360031,1075255,66.52
Brebes,821061,64537,24957,89494,910555,90.17,89095,306537,59900,455532,1366087,66.65
Kota Magelang,60612,4126,1573,5699,66311,91.41,8893,17262,5612,31767,98078,67.61
Kota Surakarta,266082,15829,7048,22877,288959,92.08,39788,73634,17397,130819,419778,68.84
Kota Salatiga,102053,6217,1986,8203,110256,92.56,14856,24483,7405,46744,157000,70.23
Kota Semarang,925963,67409,30592,98001,1023964,90.43,151538,232208,57411,441157,1465121,69.89
Kota Pekalongan,146219,5972,5069,11041,157260,92.98,18255,50534,10626,79415,236675,66.45
Kota Tegal,114121,7605,2864,10469,124590,91.6,14569,44883,8922,68374,192964,64.57
Jawa Tengah,17536935,832625,381717,1214342,18751277,93.52,1787373,5190617,1280029,8258019,27009296,69.43
,,,,,,,,,,,,
Keterangan,,,,,,,,,,,,
Menggunakan penimbang hasil proyeksi penduduk SUPAS 2015 / Uses a weighting of the population projection results from SUPAS 2015.,,,,,,,,,,,,
