Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Cilacap,739602,–,–,59801,799403,92.52,–,–,–,482385,1281788,62.37
Banyumas,827086,–,–,36138,863224,95.81,–,–,–,415642,1278866,67.5
Purbalingga,457918,–,–,29522,487440,93.94,–,–,–,205594,693034,70.33
Banjarnegara,478171,–,–,19915,498086,96,–,–,–,195789,693875,71.78
Kebumen,553677,–,–,32357,586034,94.48,–,–,–,308292,894326,65.53
Purworejo,352989,–,–,16691,369680,95.49,–,–,–,185108,554788,66.63
Wonosobo,409984,–,–,14622,424606,96.56,–,–,–,163598,588204,72.19
Magelang,679506,–,–,20401,699907,97.09,–,–,–,282056,981963,71.28
Boyolali,533462,–,–,11765,545227,97.84,–,–,–,210575,755802,72.14
Klaten,597528,–,–,19152,616680,96.89,–,–,–,306347,923027,66.81
Sukoharjo,458859,–,–,13114,471973,97.22,–,–,–,220450,692423,68.16
Wonogiri,563887,–,–,13174,577061,97.72,–,–,–,192434,769495,74.99
Karanganyar,466799,–,–,11188,477987,97.66,–,–,–,202745,680732,70.22
Sragen,441198,–,–,22327,463525,95.18,–,–,–,228718,692243,66.96
Grobogan,721201,–,–,16534,737735,97.76,–,–,–,306792,1044527,70.63
Blora,473665,–,–,15939,489604,96.74,–,–,–,182840,672444,72.81
Rembang,324318,–,–,9598,333916,97.13,–,–,–,161057,494973,67.46
Pati,627565,–,–,23485,651050,96.39,–,–,–,327747,978797,66.52
Kudus,462646,–,–,15946,478592,96.67,–,–,–,186289,664881,71.98
Jepara,617552,–,–,24247,641799,96.22,–,–,–,291669,933468,68.75
Demak,564864,–,–,43563,608427,92.84,–,–,–,252007,860434,70.71
Semarang,570290,–,–,13289,583579,97.72,–,–,–,224483,808062,72.22
Temanggung,423133,–,–,14162,437295,96.76,–,–,–,153953,591248,73.96
Kendal,457814,–,–,29552,487366,93.94,–,–,–,249904,737270,66.1
Batang,389471,–,–,17199,406670,95.77,–,–,–,173864,580534,70.05
Pekalongan,441686,–,–,20393,462079,95.59,–,–,–,195020,657099,70.32
Pemalang,582895,–,–,38613,621508,93.79,–,–,–,334480,955988,65.01
Tegal,630593,–,–,58203,688796,91.55,–,–,–,366614,1055410,65.26
Brebes,832405,–,–,65224,897629,92.73,–,–,–,441510,1339139,67.03
Kota Magelang,63151,–,–,3238,66389,95.12,–,–,–,30331,96720,68.64
Kota Surakarta,259465,–,–,11910,271375,95.61,–,–,–,142179,413554,65.62
Kota Salatiga,103982,–,–,4648,108630,95.72,–,–,–,42770,151400,71.75
Kota Semarang,872827,–,–,48724,921551,94.71,–,–,–,484053,1405604,65.56
Kota Pekalongan,151597,–,–,9907,161504,93.87,–,–,–,68523,230027,70.21
Kota Tegal,113762,–,–,9806,123568,92.06,–,–,–,65831,189399,65.24
Jawa Tengah,17245548,–,–,814347,18059895,95.49,–,–,–,8281649,26341544,68.56
