Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Cilacap,955157,42342,49168,91510,1046667,91.26,105997,355853,62945,524795,1571462,66.6
Banyumas,866024,42238,16489,58727,924751,93.65,102911,339510,64331,506752,1431503,64.6
Purbalingga,550690,22372,10346,32718,583408,94.39,49803,130705,30361,210869,794277,73.45
Banjarnegara,547271,26550,9999,36549,583820,93.74,43863,149154,38139,231156,814976,71.64
Kebumen,771582,30319,11271,41590,813172,94.89,64551,176046,37116,277713,1090885,74.54
Purworejo,451105,11355,7517,18872,469977,95.98,42114,91091,25433,158638,628615,74.76
Wonosobo,494085,18161,7551,25712,519797,95.05,43347,115348,27841,186536,706333,73.59
Magelang,796325,23545,13296,36841,833166,95.58,50392,115299,49863,215554,1048720,79.45
Boyolali,610954,14649,11131,25780,636734,95.95,50447,125775,39052,215274,852008,74.73
Klaten,655508,16512,12228,28740,684248,95.8,83416,215913,42187,341516,1025764,66.71
Sukoharjo,482765,8880,8098,16978,499743,96.6,75587,118524,44797,238908,738651,67.66
Wonogiri,699522,6894,6836,13730,713252,98.08,40853,85166,25776,151795,865047,82.45
Karanganyar,508086,13003,10114,23117,531203,95.65,54990,129080,36192,220262,751465,70.69
Sragen,521215,9311,11652,20963,542178,96.13,57325,139855,50951,248131,790309,68.6
Grobogan,845077,18749,16637,35386,880463,95.98,64324,179169,37510,281003,1161466,75.81
Blora,550476,10972,6655,17627,568103,96.9,40235,98256,21528,160019,728122,78.02
Rembang,370269,8107,1789,9896,380165,97.4,29026,90965,22439,142430,522595,72.75
Pati,756270,15400,18515,33915,790185,95.71,64576,169197,56973,290746,1080931,73.1
Kudus,473287,8075,7799,15874,489161,96.75,48521,117252,22677,188450,677611,72.19
Jepara,653780,11465,11227,22692,676472,96.65,65993,164551,38121,268665,945137,71.57
Demak,635271,15522,20614,36136,671407,94.62,76530,151594,49366,277490,948897,70.76
Semarang,619153,11569,14567,26136,645289,95.95,57418,110152,35462,203032,848321,76.07
Temanggung,471459,4202,6990,11192,482651,97.68,37434,86657,29959,154050,636701,75.8
Kendal,597958,26833,9695,36528,634486,94.24,41772,119589,28947,190308,824794,76.93
Batang,459118,20408,9211,29619,488737,93.94,36383,95630,17115,149128,637865,76.62
Pekalongan,524583,10144,7463,17607,542190,96.75,45572,143132,38597,227301,769491,70.46
Pemalang,763905,28007,25579,53586,817491,93.45,60455,256426,40534,357415,1174906,69.58
Tegal,777759,57525,15646,73171,850930,91.4,84295,256043,67314,407652,1258582,67.61
Brebes,946472,53166,40208,93374,1039846,91.02,101819,340789,90613,533221,1573067,66.1
Kota Magelang,65567,2572,1060,3632,69199,94.75,8958,17160,4023,30141,99340,69.66
Kota Surakarta,278506,8905,4453,13358,291864,95.42,37506,73871,18668,130045,421909,69.18
Kota Salatiga,108159,4317,861,5178,113337,95.43,11360,26854,5667,43881,157218,72.09
Kota Semarang,873358,25100,30556,55656,929014,94.01,123051,221193,64957,409201,1338215,69.42
Kota Pekalongan,171522,6594,2471,9065,180587,94.98,17029,33496,13099,63624,244211,73.95
Kota Tegal,136637,4190,4615,8805,145442,93.95,15790,48983,8020,72793,218235,66.64
Jawa Tengah,19988875,637953,442307,1080260,21069135,94.87,1933643,5088278,1286573,8308494,29377629,71.72
,,,,,,,,,,,,
Keterangan,,,,,,,,,,,,
-,,,,,,,,,,,,
